anno,semestre,regione,provincia,comune,codice_zona,fascia_codice,fascia,zona_omi,destinazione,tipologia,stato_conservativo,prezzo_min_mq,prezzo_max_mq,affitto_medio_mq_mese,prezzo_medio_mq,range_prezzo_mq,rental_yield_proxy_pct,periodo
2025,2,Sicilia,Palermo,Palermo,B20,B,Centrale,XX SETT-CORLEO-POLITEAMA-VILLAREALE-R.SETTIMO-CAVOUR-ROMA,Residenziale,Abitazioni civili,Normale,1950,2850,6.8,2400.0,900,3.3999999999999995,2025-S2
2025,2,Sicilia,Palermo,Palermo,B21,B,Centrale,XX SETT-LA FARINA-CUSMANO-LATINI-S.F.DA PAOLA-P.UNGHERIA,Residenziale,Abitazioni civili,Normale,1500,2250,6.0,1875.0,750,3.84,2025-S2
2025,2,Sicilia,Palermo,Palermo,E3,E,Suburbana,R.MARGHERITA-MONDELLO VALDESI-TOLOMEA-M.ALLIATA-MONDELLO PAESE,Residenziale,Abitazioni civili,Normale,1650,2250,4.9,1950.0,600,3.0153846153846158,2025-S2
2025,2,Sicilia,Palermo,Palermo,B23,B,Centrale,VIA DELLE CROCI-CORLEO-P.STURZO-U.BASSI ALBANESE-ORSINI,Residenziale,Abitazioni civili,Normale,1550,2150,5.5,1850.0,600,3.567567567567568,2025-S2
2025,2,Sicilia,Palermo,Palermo,B2,B,Centrale,CRISPI-UCCIARDONE-PORTO,Residenziale,Abitazioni civili,Normale,1400,2100,4.5,1750.0,700,3.085714285714286,2025-S2
2025,2,Sicilia,Palermo,Palermo,B22,B,Centrale,VIA ROMA-CAVOUR- P.PE DI SCORDIA- E. AMARI,Residenziale,Abitazioni civili,Normale,1400,2050,5.2,1725.0,650,3.6173913043478265,2025-S2
2025,2,Sicilia,Palermo,Palermo,B12,B,Centrale,MASSIMO-PIGNATELLI ARAGONA-GOETHE-V.E.ORLANDO-AMICO,Residenziale,Abitazioni civili,Normale,1350,2000,4.9,1675.0,650,3.5104477611940297,2025-S2
2025,2,Sicilia,Palermo,Palermo,B14,B,Centrale,VITTORIO EMANUELE-MAQUEDA-ROMA,Residenziale,Abitazioni civili,Normale,1400,2000,7.5,1700.0,600,5.294117647058823,2025-S2
2025,2,Sicilia,Palermo,Palermo,C1,C,Semicentrale,SCIUTI-NOTARBARTOLO-VILLABIANCA-DE GASPERI-GIOTTO-NEBRODI-GALILEI,Residenziale,Abitazioni civili,Normale,1550,1950,7.0,1750.0,400,4.8,2025-S2
2025,2,Sicilia,Palermo,Palermo,B16,B,Centrale,MAQUEDA-VITTORIO EMANUELE-ROMA-CAVOUR,Residenziale,Abitazioni civili,Normale,1300,1850,4.7,1575.0,550,3.580952380952381,2025-S2
2025,2,Sicilia,Palermo,Palermo,D1,D,Periferica,CIRCONVALLAZIONE-V.NUOVA-QUARTIERI-NISCEMI-S.LORENZO-VILLA SOFIA-V.SARDEGNA-BELGIO-STRASBURGO,Residenziale,Abitazioni civili,Normale,1450,1850,6.0,1650.0,400,4.363636363636364,2025-S2
2025,2,Sicilia,Palermo,Palermo,D9,D,Periferica,THAON DE REVEL-CARD. RAMPOLLA-PAPA SERGIO I-ARENELLA,Residenziale,Abitazioni civili,Normale,1300,1800,4.3,1550.0,500,3.329032258064516,2025-S2
2025,2,Sicilia,Palermo,Palermo,B18,B,Centrale,CAVOUR-ROMA-VITTORIO EMANUELE-CRISPI,Residenziale,Abitazioni civili,Normale,1300,1700,4.0,1500.0,400,3.2,2025-S2
2025,2,Sicilia,Palermo,Palermo,B19,B,Centrale,VITTORIO EMANUELE-FORO ITALICO-LINCOLN-ROMA,Residenziale,Abitazioni civili,Normale,1250,1700,4.4,1475.0,450,3.579661016949153,2025-S2
2025,2,Sicilia,Palermo,Palermo,E14,E,Suburbana,PALLAVICINO-S.FILIPPO NERI-F.DO PATTI-TRAPANI PESCIA,Residenziale,Abitazioni civili,Normale,1300,1700,4.1,1500.0,400,3.2799999999999994,2025-S2
2025,2,Sicilia,Palermo,Palermo,E15,E,Suburbana,SAN LORENZO,Residenziale,Abitazioni civili,Normale,1150,1650,4.8,1400.0,500,4.114285714285714,2025-S2
2025,2,Sicilia,Palermo,Palermo,E2,E,Suburbana,ADDAURA,Residenziale,Abitazioni civili,Normale,1200,1650,4.4,1425.0,450,3.7052631578947373,2025-S2
2025,2,Sicilia,Palermo,Palermo,C3,C,Semicentrale,IMP.RE FEDERICO-AUTONOMIA SICILIANA-CANTIERI-ACQUASANTA,Residenziale,Abitazioni civili,Normale,1250,1600,6.5,1425.0,350,5.473684210526316,2025-S2
2025,2,Sicilia,Palermo,Palermo,D10,D,Periferica,DI BLASI-RUGGIERI-DA VINCI-ANGELICO-BADIA-MICHELANGELO-MANDALA,Residenziale,Abitazioni civili,Normale,1150,1550,4.6,1350.0,400,4.088888888888889,2025-S2
2025,2,Sicilia,Palermo,Palermo,D13,D,Periferica,VIA NAVE- RISERVA REALE-PARUTA- DUE VANELLE-VIA PALMERINO- REGIONE SICILIA,Residenziale,Abitazioni civili,Normale,1250,1550,4.5,1400.0,300,3.8571428571428568,2025-S2
2025,2,Sicilia,Palermo,Palermo,B13,B,Centrale,MAQUEDA-V.EMANUELE-BONELLO-AMEDEO-SAN VITO,Residenziale,Abitazioni civili,Normale,1100,1500,4.1,1300.0,400,3.784615384615384,2025-S2
2025,2,Sicilia,Palermo,Palermo,E20,E,Suburbana,BADIA-ANGELICO-DA VINCI-RUGGIERI-CASTELLANA-MICHELANGELO,Residenziale,Abitazioni civili,Normale,1100,1500,4.8,1300.0,400,4.43076923076923,2025-S2
2025,2,Sicilia,Palermo,Palermo,E21,E,Suburbana,BAIDA-P.RIDENTE-BOCCADIFALCO,Residenziale,Abitazioni civili,Normale,1000,1500,4.3,1250.0,500,4.128,2025-S2
2025,2,Sicilia,Palermo,Palermo,E5,E,Suburbana,CARDILLO-LANZA DI SCALEA-OLIMPO,Residenziale,Abitazioni civili,Normale,1150,1500,4.2,1325.0,350,3.8037735849056604,2025-S2
2025,2,Sicilia,Palermo,Palermo,B17,B,Centrale,MAQUEDA-VITTORIO EMANUELE-ROMA-GIULIO CESARE,Residenziale,Abitazioni civili,Normale,1000,1450,4.1,1225.0,450,4.016326530612244,2025-S2
2025,2,Sicilia,Palermo,Palermo,B3,B,Centrale,REGINA MARGHERITA-RE FEDERICO-FINOCCHIARO APRILE-MARCO POLO,Residenziale,Abitazioni civili,Normale,1000,1450,4.2,1225.0,450,4.114285714285715,2025-S2
2025,2,Sicilia,Palermo,Palermo,C11,C,Semicentrale,PITRE-CAPPUCCINI-PISANI-ALTOFONTE-REGIONE SICILIANA,Residenziale,Abitazioni civili,Normale,1150,1450,4.4,1300.0,300,4.061538461538461,2025-S2
2025,2,Sicilia,Palermo,Palermo,D14,D,Periferica,DI BLASI- R. SICILIANA-PITRE- AEREOPORTO BOCCADIFALCO,Residenziale,Abitazioni civili,Normale,1000,1450,4.0,1225.0,450,3.9183673469387754,2025-S2
2025,2,Sicilia,Palermo,Palermo,E11,E,Suburbana,SFERRACAVALLO PAESE-BAIA DEL CORALLO,Residenziale,Abitazioni civili,Normale,1000,1450,4.1,1225.0,450,4.016326530612244,2025-S2
2025,2,Sicilia,Palermo,Palermo,E6,E,Suburbana,PARCO DEI PRINCIPI-UGO LA MALFA-V.GIOE,Residenziale,Abitazioni civili,Normale,1000,1450,3.8,1225.0,450,3.7224489795918365,2025-S2
2025,2,Sicilia,Palermo,Palermo,B15,B,Centrale,VITTORIO EMANUELE-MAQUEDA-TUKORY-RE RUGGERO,Residenziale,Abitazioni civili,Normale,1050,1400,3.8,1225.0,350,3.7224489795918365,2025-S2
2025,2,Sicilia,Palermo,Palermo,C12,C,Semicentrale,LANCIA DI BROLO-C.PARISIO-NOCE-STAZIONE LOLLI,Residenziale,Abitazioni civili,Normale,1100,1400,4.3,1250.0,300,4.128,2025-S2
2025,2,Sicilia,Palermo,Palermo,C5,C,Semicentrale,PERPIGNANO-SICCHERIA-CAPPUCCINI,Residenziale,Abitazioni civili,Normale,1050,1400,5.8,1225.0,350,5.681632653061224,2025-S2
2025,2,Sicilia,Palermo,Palermo,D11,D,Periferica,ZONA DI ESPANSIONE TRA VIA ALTOFONTE E VIA ROCCELLA,Residenziale,Abitazioni civili,Normale,960,1400,3.7,1180.0,440,3.76271186440678,2025-S2
2025,2,Sicilia,Palermo,Palermo,E19,E,Suburbana,CRUILLAS-BRUNELLESCHI-TRABUCCO-CEP-BORGO NUOVO-MANGO,Residenziale,Abitazioni civili,Normale,1100,1400,5.6,1250.0,300,5.375999999999999,2025-S2
2025,2,Sicilia,Palermo,Palermo,E23,E,Suburbana,OSPEDALE INGRASSIA - MOLARA-PAGLIARELLI-RISERVA REALE-VILLA NAVE,Residenziale,Abitazioni civili,Normale,950,1400,4.3,1175.0,450,4.391489361702127,2025-S2
2025,2,Sicilia,Palermo,Palermo,E4,E,Suburbana,PARTANNA MONDELLO-TOMMASO NATALE,Residenziale,Abitazioni civili,Normale,1050,1400,4.0,1225.0,350,3.9183673469387754,2025-S2
2025,2,Sicilia,Palermo,Palermo,C4,C,Semicentrale,E.BASILE-MONTEGRAPPA-CLINICHE-STAZIONE C.LE-ORTO BOTANICO,Residenziale,Abitazioni civili,Normale,1000,1350,7.0,1175.0,350,7.1489361702127665,2025-S2
2025,2,Sicilia,Palermo,Palermo,D12,D,Periferica,BONAGIA,Residenziale,Abitazioni civili,Normale,940,1350,3.8,1145.0,410,3.9825327510917026,2025-S2
2025,2,Sicilia,Palermo,Palermo,E1,E,Suburbana,FAVORITA-MONTE PELLEGRINO-VERGINE MARIA,Residenziale,Abitazioni civili,Normale,950,1350,3.8,1150.0,400,3.965217391304347,2025-S2
2025,2,Sicilia,Palermo,Palermo,E22,E,Suburbana,VILLAGRAZIA-ALOI-CHIAVELLI-FALSOMIELE-BRASCA,Residenziale,Abitazioni civili,Normale,1000,1350,3.7,1175.0,350,3.7787234042553193,2025-S2
2025,2,Sicilia,Palermo,Palermo,D3,D,Periferica,FALSOMIELE-ORETO-GUADAGNA-BRANCACCIO-FONDO BAGNASCO,Residenziale,Abitazioni civili,Normale,1000,1300,4.5,1150.0,300,4.695652173913043,2025-S2
2025,2,Sicilia,Palermo,Palermo,D4,D,Periferica,S.ERASMO-ROMAGNOLO-SPERONE-SETTECANNOLI,Residenziale,Abitazioni civili,Normale,950,1300,5.0,1125.0,350,5.333333333333334,2025-S2
2025,2,Sicilia,Palermo,Palermo,B4,B,Centrale,DOSSUNA-COLONNA ROTTA-ALBERTO AMEDEO,Residenziale,Abitazioni civili,Normale,880,1250,3.6,1065.0,370,4.056338028169015,2025-S2
2025,2,Sicilia,Palermo,Palermo,B7,B,Centrale,BORGO VECCHIO,Residenziale,Abitazioni civili,Normale,900,1250,3.4,1075.0,350,3.7953488372093025,2025-S2
2025,2,Sicilia,Palermo,Palermo,C7,C,Semicentrale,ZISA-GUERRAZZI-CARDINALE TOMASI,Residenziale,Abitazioni civili,Normale,900,1250,3.7,1075.0,350,4.130232558139536,2025-S2
2025,2,Sicilia,Palermo,Palermo,E9,E,Suburbana,ACQUA DEI CORSARI -GALLETTI-FIGURELLA,Residenziale,Abitazioni civili,Normale,880,1250,3.5,1065.0,370,3.943661971830986,2025-S2
2025,2,Sicilia,Palermo,Palermo,D8,D,Periferica,STAZIONE BRANCACCIO-TORRELUNGA-GIAFAR-CONTE FEDERICO-PECORAINO,Residenziale,Abitazioni civili,Normale,770,1150,3.2,960.0,380,4.000000000000001,2025-S2
2025,2,Sicilia,Palermo,Palermo,C10,C,Semicentrale,RIONE DANISINNI,Residenziale,Abitazioni civili,Normale,750,1050,3.0,900.0,300,4.0,2025-S2
