anno,semestre,regione,provincia,comune,codice_zona,fascia_codice,fascia,zona_omi,destinazione,tipologia,stato_conservativo,prezzo_min_mq,prezzo_max_mq,affitto_medio_mq_mese
2025,2,Sicilia,Palermo,Palermo,B20,B,Centrale,XX SETT-CORLEO-POLITEAMA-VILLAREALE-R.SETTIMO-CAVOUR-ROMA,Residenziale,Abitazioni civili,Normale,1950,2850,6.8
2025,2,Sicilia,Palermo,Palermo,B21,B,Centrale,XX SETT-LA FARINA-CUSMANO-LATINI-S.F.DA PAOLA-P.UNGHERIA,Residenziale,Abitazioni civili,Normale,1500,2250,6.0
2025,2,Sicilia,Palermo,Palermo,E3,E,Suburbana,R.MARGHERITA-MONDELLO VALDESI-TOLOMEA-M.ALLIATA-MONDELLO PAESE,Residenziale,Abitazioni civili,Normale,1650,2250,4.9
2025,2,Sicilia,Palermo,Palermo,B23,B,Centrale,VIA DELLE CROCI-CORLEO-P.STURZO-U.BASSI ALBANESE-ORSINI,Residenziale,Abitazioni civili,Normale,1550,2150,5.5
2025,2,Sicilia,Palermo,Palermo,B2,B,Centrale,CRISPI-UCCIARDONE-PORTO,Residenziale,Abitazioni civili,Normale,1400,2100,4.5
2025,2,Sicilia,Palermo,Palermo,B22,B,Centrale,VIA ROMA-CAVOUR- P.PE DI SCORDIA- E. AMARI,Residenziale,Abitazioni civili,Normale,1400,2050,5.2
2025,2,Sicilia,Palermo,Palermo,B12,B,Centrale,MASSIMO-PIGNATELLI ARAGONA-GOETHE-V.E.ORLANDO-AMICO,Residenziale,Abitazioni civili,Normale,1350,2000,4.9
2025,2,Sicilia,Palermo,Palermo,B14,B,Centrale,VITTORIO EMANUELE-MAQUEDA-ROMA,Residenziale,Abitazioni civili,Normale,1400,2000,7.5
2025,2,Sicilia,Palermo,Palermo,C1,C,Semicentrale,SCIUTI-NOTARBARTOLO-VILLABIANCA-DE GASPERI-GIOTTO-NEBRODI-GALILEI,Residenziale,Abitazioni civili,Normale,1550,1950,7.0
2025,2,Sicilia,Palermo,Palermo,B16,B,Centrale,MAQUEDA-VITTORIO EMANUELE-ROMA-CAVOUR,Residenziale,Abitazioni civili,Normale,1300,1850,4.7
2025,2,Sicilia,Palermo,Palermo,D1,D,Periferica,CIRCONVALLAZIONE-V.NUOVA-QUARTIERI-NISCEMI-S.LORENZO-VILLA SOFIA-V.SARDEGNA-BELGIO-STRASBURGO,Residenziale,Abitazioni civili,Normale,1450,1850,6.0
2025,2,Sicilia,Palermo,Palermo,D9,D,Periferica,THAON DE REVEL-CARD. RAMPOLLA-PAPA SERGIO I-ARENELLA,Residenziale,Abitazioni civili,Normale,1300,1800,4.3
2025,2,Sicilia,Palermo,Palermo,B18,B,Centrale,CAVOUR-ROMA-VITTORIO EMANUELE-CRISPI,Residenziale,Abitazioni civili,Normale,1300,1700,4.0
2025,2,Sicilia,Palermo,Palermo,B19,B,Centrale,VITTORIO EMANUELE-FORO ITALICO-LINCOLN-ROMA,Residenziale,Abitazioni civili,Normale,1250,1700,4.4
2025,2,Sicilia,Palermo,Palermo,E14,E,Suburbana,PALLAVICINO-S.FILIPPO NERI-F.DO PATTI-TRAPANI PESCIA,Residenziale,Abitazioni civili,Normale,1300,1700,4.1
2025,2,Sicilia,Palermo,Palermo,E15,E,Suburbana,SAN LORENZO,Residenziale,Abitazioni civili,Normale,1150,1650,4.8
